,crim,chas,nox,rm,dis,ptratio,black,lstat,medv
195,0.01381,0,0.42200000000000004,7.875,5.6484,14.4,394.23,2.97,3.912023005428146
318,0.40202,0,0.544,6.382000000000001,3.5325,18.4,395.21,10.36,3.139832617527748
236,0.52058,1,0.507,6.631,4.148,17.4,388.45,9.54,3.2228678461377385
104,0.1396,0,0.52,6.167000000000001,2.421,20.9,392.69,12.33,3.0007198150650303
308,0.49298000000000003,0,0.544,6.635,3.3175,18.4,396.9,4.54,3.126760535960395
448,9.329089999999999,0,0.713,6.185,2.2616,20.2,396.9,18.13,2.6461747973841225
341,0.013009999999999999,0,0.442,7.2410000000000005,7.0379,15.5,394.74,5.49,3.487375077903208
303,0.1,0,0.433,6.982,5.4917,16.1,390.43,4.86,3.4995332823830174
280,0.03578,0,0.4429,7.82,4.6947,14.9,387.31,3.76,3.8155121050473024
36,0.09744,0,0.499,5.841,3.3779,19.2,377.56,11.41,2.995732273553991
138,0.2498,0,0.624,5.857,1.6686,21.2,392.04,21.32,2.5877640352277083
324,0.34109,0,0.493,6.415,4.7211,19.6,396.9,6.12,3.2188758248682006
278,0.07977999999999999,0,0.447,6.482,4.1403,17.6,396.9,7.19,3.370738174177447
241,0.10612,0,0.428,6.095,6.3361,16.6,394.62,12.4,3.0007198150650303
249,0.19072999999999998,0,0.431,6.718,7.8265,19.1,393.74,6.56,3.265759410767051
210,0.17446,1,0.489,5.96,3.8771,18.6,393.25,17.27,3.077312260546414
473,4.64689,0,0.614,6.98,2.5329,20.2,374.68,11.66,3.3945083935113587
358,5.20177,1,0.77,6.127000000000001,2.7227,20.2,395.43,11.48,3.122364924487357
437,15.1772,0,0.74,6.152,1.9142,20.2,9.32,26.45,2.163323025660538
379,17.8667,0,0.6709999999999999,6.223,1.3861,20.2,393.74,21.78,2.322387720290225
382,9.18702,0,0.7,5.5360000000000005,1.5804,20.2,396.9,23.6,2.424802725718295
120,0.06899,0,0.581,5.87,2.2577,19.1,389.15,14.37,3.091042453358316
35,0.06417,0,0.499,5.933,3.3603,19.2,396.9,9.68,2.9391619220655967
275,0.09604,0,0.447,6.854,4.2673,17.6,396.9,2.98,3.4657359027997265
413,28.6558,0,0.597,5.155,1.5894,20.2,210.97,20.08,2.791165107812717
19,0.7258,0,0.5379999999999999,5.727,3.7965,21.0,390.95,11.28,2.9014215940827497
309,0.3494,0,0.544,5.972,3.1025,18.4,396.24,9.97,3.0106208860477417
132,0.59005,0,0.624,6.372000000000001,2.3274,21.2,385.76,11.12,3.1354942159291497
202,0.021769999999999998,0,0.415,7.61,6.27,14.7,395.38,3.11,3.744787086052232
418,73.5341,0,0.679,5.957000000000001,1.8026,20.2,16.45,20.62,2.174751721484161
401,14.2362,0,0.693,6.343,1.5741,20.2,396.9,20.32,1.9740810260220096
189,0.0837,0,0.43700000000000006,7.185,4.5667,15.2,396.9,5.39,3.5524868292083815
198,0.03768,0,0.40399999999999997,7.274,7.309,12.6,392.2,6.62,3.543853682063679
247,0.19657,0,0.431,6.226,8.0555,19.1,376.14,10.15,3.0204248861443626
5,0.02985,0,0.45799999999999996,6.43,6.0622,18.7,394.12,5.21,3.3568971227655755
148,2.3309900000000003,0,0.871,5.186,1.5296,14.7,356.99,28.32,2.8791984572980396
377,9.82349,0,0.6709999999999999,6.794,1.358,20.2,396.9,21.24,2.5877640352277083
402,9.59571,0,0.693,6.404,1.639,20.2,376.11,20.31,2.4932054526026954
436,14.4208,0,0.74,6.461,2.0026,20.2,27.49,18.05,2.2617630984737906
204,0.02009,0,0.4161,8.033999999999999,5.118,14.7,390.55,2.88,3.912023005428146
385,16.8118,0,0.7,5.277,1.4261,20.2,396.9,30.81,1.9740810260220096
21,0.8520399999999999,0,0.5379999999999999,5.965,4.0123,21.0,392.53,13.83,2.975529566236472
501,0.06262999999999999,0,0.573,6.593,2.4786,21.0,391.99,9.67,3.109060958860994
127,0.25915,0,0.624,5.693,1.7883,21.2,392.11,17.19,2.785011242238338
49,0.21977,0,0.44799999999999995,5.602,6.0877,17.9,396.9,16.2,2.9652730660692823
398,38.3518,0,0.693,5.452999999999999,1.4896,20.2,396.9,30.59,1.6094379124341003
354,0.04301,0,0.413,5.662999999999999,10.5857,22.0,382.8,8.05,2.9014215940827497
467,4.422280000000001,0,0.584,6.002999999999999,2.5403,20.2,331.29,21.32,2.9496883350525844
490,0.20745999999999998,0,0.609,5.093,1.8226,20.1,318.43,29.68,2.0918640616783932
251,0.21409,0,0.431,6.438,7.3967,19.1,377.07,3.59,3.2108436531709366
279,0.21038,0,0.4429,6.812,4.1007,14.9,396.9,4.85,3.55820113047182
350,0.062110000000000005,0,0.429,6.49,8.7921,19.7,396.9,5.98,3.131136910560194
400,25.0461,0,0.693,5.987,1.5888,20.2,396.9,26.77,1.7227665977411035
117,0.15098,0,0.547,6.021,2.7474,17.8,394.51,10.3,2.954910279033736
270,0.29916,0,0.46399999999999997,5.856,4.428999999999999,18.6,388.65,13.0,3.0492730404820207
432,6.44405,0,0.584,6.425,2.2004,20.2,97.95,12.03,2.7788192719904172
0,0.00632,0,0.5379999999999999,6.575,4.09,15.3,396.9,4.98,3.1780538303479458
395,8.71675,0,0.693,6.471,1.7257,20.2,391.98,17.12,2.5726122302071057
55,0.01311,0,0.40299999999999997,7.249,8.6966,17.9,395.93,4.81,3.5667118201397288
416,10.8342,0,0.679,6.782,1.8195,20.2,21.57,25.79,2.0149030205422647
312,0.26169000000000003,0,0.544,6.023,2.8339999999999996,18.4,396.3,11.72,2.9652730660692823
392,11.5779,0,0.7,5.0360000000000005,1.77,20.2,396.9,25.68,2.272125885509337
83,0.03551,0,0.426,6.167000000000001,5.4007,19.0,390.64,7.51,3.131136910560194
420,11.0874,0,0.718,6.4110000000000005,1.8589,20.2,318.75,15.02,2.8154087194227095
205,0.13642,0,0.489,5.891,3.9454,18.6,396.9,10.87,3.1179499062782403
429,9.33889,0,0.679,6.38,1.9682,20.2,60.72,24.08,2.2512917986064953
441,9.72418,0,0.74,6.406000000000001,2.0651,20.2,385.96,19.52,2.8390784635086144
186,0.05602000000000001,0,0.488,7.831,3.1992,17.8,392.63,4.45,3.912023005428146
86,0.051879999999999996,0,0.449,6.015,4.4272,18.5,395.99,12.86,3.1135153092103742
46,0.18836,0,0.44799999999999995,5.7860000000000005,5.1004,17.9,396.9,14.15,2.995732273553991
329,0.06724,0,0.46,6.332999999999999,5.2146,16.9,375.21,7.34,3.1179499062782403
162,1.8337700000000001,1,0.605,7.8020000000000005,2.0407,14.7,389.61,1.92,3.912023005428146
496,0.2896,0,0.585,5.39,2.7986,19.2,396.9,21.14,2.9806186357439426
495,0.17899,0,0.585,5.67,2.7986,19.2,393.29,17.6,3.139832617527748
466,3.7749800000000002,0,0.655,5.952000000000001,2.8715,20.2,22.01,17.15,2.9444389791664403
336,0.03427,0,0.515,5.869,5.2311,20.2,396.9,9.8,2.970414465569701
258,0.66351,0,0.647,7.332999999999999,1.8946,13.0,383.29,7.79,3.58351893845611
137,0.35233000000000003,0,0.624,6.454,1.8498,21.2,394.08,14.59,2.8390784635086144
355,0.10659,0,0.413,5.936,10.5857,22.0,376.04,5.57,3.0252910757955354
462,6.65492,0,0.713,6.317,2.7344,20.2,396.9,13.99,2.970414465569701
196,0.04011,0,0.40399999999999997,7.287000000000001,7.309,12.6,396.9,4.08,3.505557396986398
180,0.06588,0,0.488,7.765,2.741,17.8,395.56,7.56,3.6838669122903918
9,0.17004,0,0.524,6.004,6.5921,15.2,386.71,17.1,2.9391619220655967
259,0.65665,0,0.647,6.8420000000000005,2.0107,13.0,391.93,6.9,3.40452517175483
32,1.38799,0,0.5379999999999999,5.95,3.99,21.0,232.6,27.71,2.580216829592325
410,51.1358,0,0.597,5.757000000000001,1.413,20.2,2.6,10.11,2.70805020110221
263,0.82526,0,0.647,7.327000000000001,2.0788,13.0,393.42,11.25,3.4339872044851463
505,0.04741,0,0.573,6.03,2.505,21.0,396.9,7.88,2.4765384001174837
103,0.21161,0,0.52,6.1370000000000005,2.7147,20.9,394.47,13.44,2.9601050959108397
39,0.027630000000000002,0,0.428,6.595,5.4011,18.3,395.63,4.32,3.427514689979529
28,0.77299,0,0.5379999999999999,6.495,4.4547,21.0,387.94,12.8,2.91235066461494
215,0.19802,0,0.489,6.182,3.9454,18.6,393.63,9.47,3.2188758248682006
427,37.6619,0,0.679,6.202000000000001,1.8629,20.2,18.82,14.52,2.388762789235098
169,2.4495299999999998,0,0.605,6.402,2.2625,14.7,330.04,11.32,3.104586678466073
470,4.34879,0,0.58,6.167000000000001,3.0334,20.2,396.9,16.29,2.990719731730447
325,0.19186,0,0.493,6.431,5.4159,19.6,393.68,5.08,3.202746442938317
206,0.22969,0,0.489,6.3260000000000005,4.3549,18.6,394.87,10.97,3.1945831322991562
153,2.14918,0,0.871,5.709,1.6232,14.7,261.95,15.79,2.9652730660692823
503,0.06076,0,0.573,6.976,2.1675,21.0,396.9,5.64,3.173878458937465
30,1.13081,0,0.5379999999999999,5.712999999999999,4.2330000000000005,21.0,360.17,22.6,2.5416019934645457
255,0.035480000000000005,0,0.392,5.876,9.2203,16.4,395.18,9.25,3.039749158970765
213,0.14052,0,0.489,6.375,3.9454,18.6,385.81,9.38,3.3357695763397
136,0.32264,0,0.624,5.942,1.9669,21.2,378.25,16.9,2.856470206220483
426,12.2472,0,0.584,5.837000000000001,1.9976,20.2,24.65,15.69,2.322387720290225
397,7.67202,0,0.693,5.747000000000001,1.6334,20.2,393.1,19.92,2.1400661634962708
168,2.3004,0,0.605,6.319,2.1,14.7,297.09,11.1,3.169685580677429
492,0.11132,0,0.609,5.983,2.1099,20.1,396.9,13.35,3.0007198150650303
229,0.44178,0,0.504,6.5520000000000005,3.3751,17.4,380.34,3.76,3.449987545831587
224,0.31533,0,0.504,8.266,2.8944,17.4,385.05,4.14,3.8022081394209395
171,2.3139,0,0.605,5.88,2.3887,14.7,348.13,12.03,2.9496883350525844
343,0.02543,0,0.484,6.696000000000001,5.7321,17.6,396.9,7.18,3.173878458937465
267,0.57834,0,0.575,8.297,2.4216,13.0,384.54,7.44,3.912023005428146
115,0.17134000000000002,0,0.547,5.928,2.4631,17.8,344.91,15.76,2.9069010598473755
399,9.91655,0,0.693,5.852,1.5004,20.2,338.16,29.97,1.840549633397487
48,0.25387,0,0.44799999999999995,5.399,5.87,17.9,396.9,30.81,2.667228206581955
452,5.09017,0,0.713,6.297000000000001,2.3682,20.2,385.09,17.27,2.7788192719904172
414,45.7461,0,0.693,4.519,1.6582,20.2,88.27,36.98,1.9459101490553132
405,67.9208,0,0.693,5.683,1.4254,20.2,384.97,22.98,1.6094379124341003
82,0.03659,0,0.426,6.3020000000000005,5.4007,19.0,396.9,6.72,3.2108436531709366
95,0.12204000000000001,0,0.445,6.625,3.4952,18.0,357.98,6.65,3.3463891451671604
67,0.05789,0,0.409,5.877999999999999,6.497999999999999,18.9,396.21,8.1,3.091042453358316
322,0.35114,0,0.493,6.041,4.7211,19.6,396.9,7.7,3.0155349008501706
96,0.11504,0,0.445,6.162999999999999,3.4952,18.0,391.83,11.34,3.0633909220278057
22,1.2324700000000002,0,0.5379999999999999,6.142,3.9769,21.0,396.9,18.72,2.7212954278522306
254,0.04819,0,0.392,6.108,9.2203,16.4,392.89,6.57,3.086486636822455
244,0.20608,0,0.431,5.593,7.9549,19.1,372.49,12.5,2.8678989020441064
393,8.64476,0,0.693,6.193,1.7912,20.2,396.9,15.17,2.624668592163159
159,1.4250200000000002,0,0.871,6.51,1.7659,14.7,364.31,7.39,3.1484533605716547
387,22.5971,0,0.7,5.0,1.5184,20.2,396.9,31.99,2.0014800002101243
144,2.7797400000000003,0,0.871,4.9030000000000005,1.3459,14.7,396.9,29.29,2.468099531471619
209,0.43571000000000004,1,0.489,5.343999999999999,3.875,18.6,396.9,23.09,2.995732273553991
463,5.82115,0,0.713,6.513,2.8016,20.2,393.82,10.29,3.005682604407159
443,9.96654,0,0.74,6.485,1.9784,20.2,386.73,18.85,2.7343675094195836
90,0.04684,0,0.489,6.417000000000001,3.0923,17.8,392.18,8.81,3.1179499062782403
41,0.12744,0,0.44799999999999995,6.77,5.7209,17.9,385.41,4.84,3.2809112157876537
233,0.33147,0,0.507,8.247,3.6519,17.4,378.95,3.95,3.877431560658527
337,0.030410000000000003,0,0.515,5.895,5.615,20.2,394.81,10.56,2.917770732084279
373,11.1081,0,0.6679999999999999,4.906000000000001,1.1742,20.2,396.9,34.77,2.624668592163159
411,14.0507,0,0.597,6.657,1.5275,20.2,35.05,21.22,2.8449093838194073
53,0.04981,0,0.439,5.997999999999999,6.8147,16.8,396.9,8.43,3.152736022363656
178,0.06642,0,0.51,6.86,2.9153,16.6,391.27,6.92,3.3978584803966405
273,0.22188000000000002,1,0.46399999999999997,7.691,4.3665,18.6,390.77,6.58,3.5610460826040513
469,13.0751,0,0.58,5.712999999999999,2.8237,20.2,396.9,14.76,3.0007198150650303
403,24.8017,0,0.693,5.349,1.7028,20.2,396.9,19.77,2.1162555148025524
51,0.04337,0,0.439,6.115,6.8147,16.8,393.97,9.43,3.0204248861443626
14,0.6379600000000001,0,0.5379999999999999,6.096,4.4619,21.0,380.02,10.26,2.9014215940827497
408,7.40389,0,0.597,5.617000000000001,1.4547,20.2,314.64,26.4,2.8449093838194073
338,0.03306,0,0.515,6.059,4.8122,20.2,396.14,8.51,3.0252910757955354
340,0.06151,0,0.515,5.968,4.8122,20.2,396.9,9.29,2.928523523860541
272,0.1146,0,0.46399999999999997,6.537999999999999,3.9175,18.6,394.96,7.73,3.1945831322991562
285,0.01096,0,0.389,6.452999999999999,7.3073,15.3,394.72,8.23,3.091042453358316
3,0.032369999999999996,0,0.45799999999999996,6.997999999999999,6.0622,18.7,394.63,2.94,3.5085558999826545
23,0.9884299999999999,0,0.5379999999999999,5.813,4.0952,21.0,394.54,19.88,2.6741486494265287
128,0.32543,0,0.624,6.431,1.8125,21.2,396.9,15.39,2.8903717578961645
165,2.924,0,0.605,6.101,2.2834,14.7,240.16,9.81,3.2188758248682006
201,0.03445,0,0.415,6.162000000000001,6.27,14.7,393.77,7.43,3.1822118404966093
45,0.17142000000000002,0,0.44799999999999995,5.682,5.1004,17.9,396.9,10.21,2.9601050959108397
423,7.05042,0,0.614,6.103,2.0218,20.2,2.52,23.29,2.5952547069568657
353,0.01709,0,0.41,6.728,12.1265,17.0,384.46,4.5,3.40452517175483
235,0.33045,0,0.507,6.086,3.6519,17.4,376.75,10.88,3.1780538303479458
457,8.20058,0,0.713,5.936,2.7792,20.2,3.5,16.94,2.6026896854443837
237,0.51183,0,0.507,7.358,4.148,17.4,390.07,4.73,3.449987545831587
42,0.1415,0,0.44799999999999995,6.169,5.7209,17.9,383.37,5.81,3.2308043957334744
232,0.57529,0,0.507,8.337,3.8384,17.4,385.91,2.47,3.730501128804756
450,6.71772,0,0.713,6.749,2.3236,20.2,0.32,17.44,2.5952547069568657
79,0.08387,0,0.43700000000000006,5.874,4.5026,18.7,396.06,9.1,3.0106208860477417
185,0.06047,0,0.488,6.153,3.2797,17.8,387.11,13.15,3.3877743613300146
479,14.3337,0,0.614,6.229,1.9512,20.2,383.32,13.11,3.0633909220278057
220,0.35809,1,0.507,6.9510000000000005,2.8617,17.4,391.7,9.71,3.2846635654062037
268,0.5405,0,0.575,7.47,2.872,13.0,390.3,3.16,3.7727609380946383
112,0.12329000000000001,0,0.547,5.912999999999999,2.3534,17.8,394.95,16.21,2.9338568698359038
11,0.11747,0,0.524,6.0089999999999995,6.2267,15.2,396.9,13.27,2.9391619220655967
150,1.6566,0,0.871,6.122000000000001,1.618,14.7,372.8,14.1,3.068052935133617
234,0.44791000000000003,1,0.507,6.726,3.6519,17.4,360.2,8.05,3.367295829986474
85,0.05735,0,0.449,6.63,4.4377,18.5,392.3,6.53,3.2809112157876537
246,0.33983,0,0.431,6.108,8.0555,19.1,390.18,9.16,3.190476350346503
134,0.9761700000000001,0,0.624,5.757000000000001,2.346,21.2,262.76,17.31,2.747270914255491
143,4.0974,0,0.871,5.468,1.4118,14.7,396.9,26.42,2.747270914255491
471,4.03841,0,0.532,6.229,3.0993,20.2,395.33,12.87,2.975529566236472
271,0.16211,0,0.46399999999999997,6.24,4.428999999999999,18.6,396.9,6.59,3.2268439945173775
360,4.541919999999999,0,0.77,6.398,2.5182,20.2,374.56,7.79,3.2188758248682006
290,0.035019999999999996,0,0.41100000000000003,6.861000000000001,5.1167,19.2,396.9,3.33,3.349904087274605
182,0.09103,0,0.488,7.155,2.7006,17.8,394.12,4.82,3.634951112088381
366,3.69695,0,0.718,4.963,1.7523,20.2,316.03,14.0,3.086486636822455
306,0.07503,0,0.47200000000000003,7.42,3.0992,18.4,396.9,6.47,3.5085558999826545
425,15.8603,0,0.679,5.896,1.9096,20.2,7.68,24.39,2.1162555148025524
438,13.6781,0,0.74,5.935,1.8206,20.2,68.95,34.02,2.128231705849268
439,9.39063,0,0.74,5.627000000000001,1.8172,20.2,396.9,22.88,2.5494451709255714
4,0.06905,0,0.45799999999999996,7.147,6.0622,18.7,396.9,5.33,3.5890591188317256
133,0.32982,0,0.624,5.822,2.4699,21.2,388.69,15.03,2.91235066461494
44,0.12269000000000001,0,0.44799999999999995,6.069,5.7209,17.9,389.39,9.55,3.054001181677967
352,0.07244,0,0.41100000000000003,5.8839999999999995,10.7103,18.3,392.33,7.79,2.9231615807191558
250,0.1403,0,0.431,6.487,7.3967,19.1,396.28,5.9,3.1945831322991562
289,0.04297,0,0.405,6.565,7.3172,16.6,371.72,9.51,3.2108436531709366
284,0.009059999999999999,0,0.4,7.087999999999999,7.3073,15.3,394.72,7.85,3.4719664525503626
203,0.0351,0,0.4161,7.853,5.118,14.7,392.78,3.81,3.8815637979434374
135,0.55778,0,0.624,6.335,2.1107,21.2,394.67,16.96,2.89591193827178
145,2.37934,0,0.871,6.13,1.4191,14.7,172.91,27.8,2.624668592163159
447,9.92485,0,0.74,6.251,2.198,20.2,388.52,16.44,2.533696813957432
482,5.73116,0,0.532,7.061,3.4106,20.2,395.28,7.01,3.2188758248682006
71,0.15875999999999998,0,0.413,5.961,5.2873,19.2,376.94,9.88,3.077312260546414
118,0.13058,0,0.547,5.872000000000001,2.4775,17.8,338.63,15.37,3.0155349008501706
454,9.513630000000001,0,0.713,6.728,2.4961,20.2,6.68,18.71,2.7013612129514133
502,0.04527,0,0.573,6.12,2.2875,21.0,396.9,9.08,3.0252910757955354
407,11.9511,0,0.659,5.608,1.2852,20.2,332.09,12.13,3.32862668882732
216,0.0456,1,0.55,5.888,3.1121,16.4,392.8,13.51,3.1484533605716547
74,0.07896,0,0.43700000000000006,6.273,4.2515,18.7,394.92,6.78,3.1822118404966093
498,0.23911999999999997,0,0.585,6.019,2.4091,19.2,396.9,12.92,3.054001181677967
484,2.37857,0,0.583,5.871,3.7239999999999998,20.2,370.73,13.34,3.0252910757955354
248,0.16439,0,0.431,6.433,7.8265,19.1,374.71,9.52,3.1986731175506815
94,0.04294,0,0.46399999999999997,6.249,3.615,18.2,396.9,10.59,3.0252910757955354
422,12.0482,0,0.614,5.648,1.9512,20.2,291.55,14.1,3.0349529867072724
421,7.022589999999999,0,0.718,6.006,1.8746,20.2,319.98,15.7,2.653241964607215
472,3.56868,0,0.58,6.437,2.8965,20.2,393.37,14.36,3.1441522786722644
93,0.02875,0,0.46399999999999997,6.211,3.6659,18.2,396.33,6.21,3.2188758248682006
18,0.80271,0,0.5379999999999999,5.456,3.7965,21.0,288.99,11.69,3.005682604407159
283,0.015009999999999999,1,0.401,7.922999999999999,5.885,13.6,395.52,3.16,3.912023005428146
292,0.03615,0,0.41100000000000003,6.63,5.1167,19.2,396.9,4.7,3.32862668882732
313,0.26938,0,0.544,6.266,3.2628,18.4,393.39,7.9,3.0726933146901194
31,1.3547200000000001,0,0.5379999999999999,6.072,4.175,21.0,376.73,13.04,2.6741486494265287
321,0.18159,0,0.493,6.376,4.5404,19.6,396.9,6.87,3.139832617527748
140,0.2909,0,0.624,6.1739999999999995,1.6119,21.2,388.08,24.16,2.6390573296152584
89,0.053020000000000005,0,0.489,7.079,3.4145,17.8,396.06,5.7,3.3568971227655755
158,1.34284,0,0.605,6.066,1.7573,14.7,353.89,6.43,3.190476350346503
286,0.01965,0,0.385,6.23,9.0892,18.2,341.6,12.93,3.0007198150650303
342,0.024980000000000002,0,0.518,6.54,6.2669,15.9,389.96,8.65,2.803360380906535
348,0.015009999999999999,0,0.435,6.635,8.344,17.0,390.94,5.99,3.1986731175506815
141,1.6286399999999999,0,0.624,5.019,1.4394,21.2,396.9,34.41,2.667228206581955
396,5.87205,0,0.693,6.405,1.6768,20.2,396.9,19.37,2.5257286443082556
424,8.792119999999999,0,0.584,5.565,2.0635,20.2,3.65,17.16,2.4595888418037104
